id_de_compañia,niu,id_contrato,nombre_de_la_compañia,operador_de_red,ciudad,direccion,medidor,ip,apn
Frt68504,0519437,28565.0,Wok KR 9 NO 69 A - 63  -67,ENEL CUNDINAMARCA,Bogotá D.C.,KR 9 NO 69 A - 63  -67,37265482846.0,10.205.65.89,BIAENERGY.WOM.CO
Frt68489,0424975,28605.0,Wok CL 30 NO 6 - 79 AP 100,ENEL CUNDINAMARCA,Bogotá D.C.,CL 30 NO 6 - 79 AP 100,22114145.0,10.205.64.240,BIAENERGY.WOM.CO
Frt68522,0438656,28604.0,Wok KR 6 BIS NO 29 - 19,ENEL CUNDINAMARCA,Bogotá D.C.,KR 6 BIS NO 29 - 19,23102134.0,10.205.64.248,BIAENERGY.WOM.CO
Frt68531,7617061,28566.0,Wok KR 9 NO 69 A - 75 PI 2,ENEL CUNDINAMARCA,Bogotá D.C.,KR 9 NO 69 A - 75 PI 2,37265482440.0,10.205.65.93,BIAENERGY.WOM.CO
Frt68527,1002454,28618.0,Wok KR 13 NO 82 - 74,ENEL CUNDINAMARCA,Bogotá D.C.,KR 13 NO 82 - 74,22114151.0,10.205.64.216,BIAENERGY.WOM.CO
Frt68505,1002451,28616.0,Wok KR 13 NO 82 - 74 AP 301,ENEL CUNDINAMARCA,Bogotá D.C.,KR 13 NO 82 - 74 AP 301,23101130.0,10.205.64.210,BIAENERGY.WOM.CO
Frt68488,1002450,28619.0,Wok KR 13 NO 82 - 74 AP 201,ENEL CUNDINAMARCA,Bogotá D.C.,KR 13 NO 82 - 74 AP 201,22114153.0,10.196.6.15,BIA.TIGO.COM
Frt68534,1002449,28614.0,Wok KR 13 NO 82 - 74 AP 101,ENEL CUNDINAMARCA,Bogotá D.C.,KR 13 NO 82 - 74 AP 101,23101416.0,10.205.64.209,BIAENERGY.WOM.CO
Frt68523,1030537,28613.0,Wok KR 13 NO 82 - 68,ENEL CUNDINAMARCA,Bogotá D.C.,KR 13 NO 82 - 68,22114137.0,10.205.64.212,BIAENERGY.WOM.CO
Frt68524,1002452,28615.0,Wok KR 13 NO 82 - 70,ENEL CUNDINAMARCA,Bogotá D.C.,KR 13 NO 82 - 70,22114143.0,10.205.64.211,BIAENERGY.WOM.CO
Frt68525,0521060,28612.0,Wok KR 13 NO 82 - 74,ENEL CUNDINAMARCA,Bogotá D.C.,KR 13 NO 82 - 74,23101398.0,10.205.64.213,BIAENERGY.WOM.CO
Frt68526,1002453,28617.0,Wok KR 13 NO 82 - 74,ENEL CUNDINAMARCA,Bogotá D.C.,KR 13 NO 82 - 74,22114144.0,10.196.55.203,BIA.TIGO.COM
Frt68934,6103949,28603.0,Wok CRA 65 No 11-50  LOCAL 419 S/E 7,ENEL CUNDINAMARCA,Bogotá D.C.,CRA 65 No 11-50  LOCAL 419 S/E 7,23103138.0,10.87.209.253,BIA.CLARO.COM.CO
Frt68533,3690410,28556.0,Wok AVENIDA CARRERA 72 NO 80 - 94  LOCAL 4-11 WOK,ENEL CUNDINAMARCA,Bogotá D.C.,AVENIDA CARRERA 72 NO 80 - 94  LOCAL 4-11 WOK,23103184.0,10.205.65.84,BIAENERGY.WOM.CO
Frt37884,6098207,28077.0,MULTIPLIKA SAS CR 65 11 50 SE 4 PLAZA CENTRAL,ENEL CUNDINAMARCA,Bogotá D.C.,CR 65 11 50 SE 4 PLAZA CENTRAL,23113086.0,10.196.71.226,BIA.TIGO.COM
Frt68932,1710110,28606.0,Wok CL 30 NO 6 - 79 AP 201,ENEL CUNDINAMARCA,Bogotá D.C.,CL 30 NO 6 - 79 AP 201,37265482291.0,10.87.216.10,BIA.CLARO.COM.CO
Frt69631,18857227,26917.0,TelefónicaCL 21B CR 17B - 5 DPL B704,AIRE CARIBE_SOL,BARRANQUILLA,CL 21B CR 17B - 5 DPL B704,23041137.0,10.196.72.134,BIA.TIGO.COM
Frt50485,6103082,28076.0,MULTIPLIKA SAS CR 65 11 50 SE 9 PLAZA CENTRAL,ENEL CUNDINAMARCA,Bogotá D.C.,CR 65 11 50 SE 9 PLAZA CENTRAL,23113112.0,10.196.71.210,BIA.TIGO.COM
Frt68503,0649217,28620.0,Wok KR 6 A NO 117 - 02,ENEL CUNDINAMARCA,Bogotá D.C.,KR 6 A NO 117 - 02,23101382.0,10.205.64.214,BIAENERGY.WOM.CO
Frt68499,1389383,28611.0,Wok CL 93 B NO 12 - 28 AP 104,ENEL CUNDINAMARCA,Bogotá D.C.,CL 93 B NO 12 - 28 AP 104,23102130.0,10.87.215.144,BIA.CLARO.COM.CO
Frt68930,0519442,28568.0,Wok KR 9 NO 69 A - 81,ENEL CUNDINAMARCA,Bogotá D.C.,KR 9 NO 69 A - 81,37265482754.0,10.205.65.91,BIAENERGY.WOM.CO
Frt68493,0654623,28558.0,Wok AK 19 NO 118 - 55,ENEL CUNDINAMARCA,Bogotá D.C.,AK 19 NO 118 - 55,101259036495.0,172.24.9.195,XMAASRTIOT
Frt68494,3201751,28559.0,Wok AK 19 NO 118 - 55 LC 2,ENEL CUNDINAMARCA,Bogotá D.C.,AK 19 NO 118 - 55 LC 2,23102126.0,10.205.65.88,BIAENERGY.WOM.CO
Frt68506,0552430,28564.0,Wok KR 65 NO 81 - 15,ENEL CUNDINAMARCA,Bogotá D.C.,KR 65 NO 81 - 15,37265482820.0,10.205.65.82,BIAENERGY.WOM.CO
Frt68519,6865418,28560.0,Wok KR 65 NO 80 - 07 OFICINA,ENEL CUNDINAMARCA,Bogotá D.C.,KR 65 NO 80 - 07,37265482051.0,10.205.65.83,BIAENERGY.WOM.CO
Frt68530,6865426,28561.0,Wok KR 65 NO 80 - 07,ENEL CUNDINAMARCA,Bogotá D.C.,KR 65 NO 80 - 07,23101167.0,10.205.65.80,BIAENERGY.WOM.CO
Frt69002,3053319,28562.0,Wok KR 65 NO 80 - 07 BG 102,ENEL CUNDINAMARCA,Bogotá D.C.,KR 65 NO 80 - 07 BG 102,23102132.0,10.205.65.63,BIAENERGY.WOM.CO
Frt10963,71314000,28719.0,INDUSTRIAS COLOMBIA INDUCOL S A S KM 7 CR 19 LT 1A SOLEDAD AV CV EL PUEBLITO KM7 - BARRANQUILLA,AIRE CARIBE_SOL,SOLEDAD,KM 7 CR 19 LT 1A SOLEDAD AV CV EL PUEBLITO KM7 - BARRANQUILLA,23103035.0,10.196.5.80,BIA.TIGO.COM
Frt68485,0552425,28563.0,Wok KR 65 NO 80 - 07,ENEL CUNDINAMARCA,Bogotá D.C.,KR 65 NO 80 - 07,23102135.0,10.205.65.81,BIAENERGY.WOM.CO
Frt68402,21139070,22266.0,KOF INVERSIONES S.A.S CR 71 CL 86 - 140 LOC 1 CK9185 LIMONCITO BARRANQUILLA,AIRE CARIBE_SOL,BARRANQUILLA,CR 71 CL 86 - 140 LOC 1 CK9185 LIMONCITO BARRANQUILLA,23101480.0,10.196.56.93,BIA.TIGO.COM
Frt18818,100466,16124.0,IMPACTARTE S.A.S Oficina 301 L,EMCALI CALI,YUMBO,CR 37 10- 303 Oficina 301 L,23103160.0,10.87.216.18,BIA.CLARO.COM.CO
Frt68997,19379503,28753.0,HOLDING J & C SAS CR 2 8–50 BOCAGRANDE,AFINIA CARIBE_MAR,CARTAGENA DE INDIAS,CR 2 8–50 BOCAGRANDE,23041237.0,10.196.5.131,BIA.TIGO.COM
Frt68331,21238147,28754.0,HOLDING J & C SAS CR 2 8–50 P 1 LOC 2,AFINIA CARIBE_MAR,CARTAGENA DE INDIAS,CR 2 8–50 P 1 LOC 2,23041165.0,10.196.7.9,BIA.TIGO.COM
Frt68422,17208036,25197.0,Renzo (Air-e) CR 60 CL 70 - 130 DPL CH8104,AIRE CARIBE_SOL,BARRANQUILLA,CR 60 CL 70 - 130 DPL CH8104,23041319.0,10.87.218.80,BIA.CLARO.COM.CO
Frt67672,877367308,26812.0,TelefónicaC 14 14 38,ELECTROHUILA HUILA,PITALITO,C 14 14 38,23061293.0,10.196.1.121,BIA.CLARO.COM.CO
Frt67577,18462012,26873.0,TelefónicaCL 10 27A-25,AFINIA CARIBE_MAR,LORICA,CL 10 27A-25,23101437.0,10.196.7.177,BIA.TIGO.COM
Frt68501,19391038,28752.0,HOLDING J & C SAS CL SAN AGUSTIN 6-62,AFINIA CARIBE_MAR,CARTAGENA DE INDIAS,CL SAN AGUSTIN 6-62,23041198.0,10.196.7.54,BIA.TIGO.COM
Frt68444,21328646,26431.0,Amaría calle 94 53 44,AIRE CARIBE_SOL,BARRANQUILLA,calle 94 53 44,23121222.0,10.87.214.94,BIA.CLARO.COM.CO
Frt67507,840908809,26813.0,TelefónicaK 3 E # 1-03,ELECTROHUILA HUILA,PITALITO,K 3 E # 1-03,23086571.0,10.87.209.120,BIA.CLARO.COM.CO
Frt67913,742584684,26815.0,TelefónicaAV CIRCU 22 35 S,ELECTROHUILA HUILA,PITALITO,AV CIRCU 22 35 S,23086569.0,10.87.209.12,BIA.CLARO.COM.CO
Frt69012,1503710,28557.0,Wok AK 19 NO 118 - 75 IN 102,ENEL CUNDINAMARCA,Bogotá D.C.,AK 19 NO 118 - 75 IN 102,23102156.0,10.205.65.86,BIAENERGY.WOM.CO
